country_m49,country,production_tonnes,observed_ch4_t,baseline_observed,baseline_posterior,optimized_mean,baseline_cvar,optimized_cvar,reduction_mean_pct,reduction_cvar_pct,abs_reduction_mt_ch4,abs_reduction_mt_ch4_posterior,tv_distance,active_species,no_harm_applied,no_harm_action,lp_certified,solver_message,delta,lambda,alpha,w_opt_Raw milk of buffalo,w_base_Raw milk of buffalo,w_opt_Raw milk of camel,w_base_Raw milk of camel,w_opt_Raw milk of cattle,w_base_Raw milk of cattle,w_opt_Raw milk of goats,w_base_Raw milk of goats,w_opt_Raw milk of sheep,w_base_Raw milk of sheep
231,Ethiopia,3783826.3499999996,1007623.3999999997,0.26629747424852057,0.2507358150154195,0.11616021876539503,0.31976856577172225,0.1262847848617035,53.67226705995252,60.50744245078291,0.5408143222065734,0.5092106871578038,0.0902073849134223,4,False,not_needed,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.5,0.9,0.0,0.0,0.0,0.0616441264541645,1.0,0.9097926150865776,0.0,0.0138235915609605,0.0,0.0147396668982972
232,Eritrea,147781.09,76247.29999999999,0.5159476087231455,0.8178597550488069,0.40304402275555923,1.0391816804897736,0.42971509806327257,50.71966553342546,58.64870348169101,0.03867237553826751,0.061301921067444344,0.09999999999999992,4,False,not_needed,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.5,0.9,0.0,0.0,0.0,0.0838314293120994,0.9120118751323325,0.8120118751323325,0.064230545328905,0.064230545328905,0.023757579538762452,0.0399261502266629
498,Republic of Moldova,261283.0,11034.799999999977,0.04223313418783455,0.05949400788300761,0.03006508946697944,0.06823312542527046,0.03139899528793772,49.465348634603444,53.98276849808647,0.00545840229113121,0.007689276090495089,0.09999999999999998,3,False,not_needed,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.5,0.9,0.0,0.0,0.0,0.0,0.9875625279868954,0.8875625279868953,0.012437472013104633,0.0282337542052104,0.0,0.0842037178078941
642,Romania,4318400.0,208897.1999999996,0.04837374953686539,0.07627956812857305,0.03890837410288131,0.08754585509797291,0.04062892967093457,48.99240378852265,53.59125840342004,0.10234375972691755,0.16138376428054718,0.09999999999999992,4,False,not_needed,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.5,0.9,0.0044692478695813,0.0044692478695813,0.0,0.0,0.9379955539088551,0.837995553908855,0.0537004446091144,0.0537004446091144,0.0038347536124492265,0.103834753612449
4,Afghanistan,2219532.66,345134.19999999995,0.15549859041046937,0.2634711650869602,0.1343908002095692,0.2994772992864586,0.1395521016754789,48.99221697933711,53.40144244389178,0.16908889613389927,0.2864980856100863,0.10000000000000003,4,False,not_needed,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.5,0.9,0.0,0.0,0.0,0.0030787967769755,0.957095754563035,0.8570957545630348,0.04290424543696503,0.0536483387453284,0.0,0.086177109914661
807,North Macedonia,291731.0,16158.09999999998,0.05538698321398815,0.09972277962060791,0.05149235574118457,0.11678952973769612,0.05515500211900461,48.3645001301753,52.77401814796223,0.007814784295533846,0.01407030978876805,0.09999999999999992,3,False,not_needed,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.5,0.9,0.0,0.0,0.0,0.0,0.9414532565959737,0.8414532565959737,0.0499878312555059,0.0499878312555059,0.008558912148520448,0.1085589121485203
100,Bulgaria,815780.0,33289.299999999974,0.040806712594081695,0.056415739297919286,0.030964275020430723,0.06316862600070194,0.03163379610923458,45.114119914453134,49.921665054289676,0.015018174720682035,0.02076279552828962,0.10000000000000003,4,False,not_needed,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.5,0.9,0.0,0.0206918531957145,0.0,0.0,0.9909142170683274,0.8909142170683273,0.009085782931672615,0.0246389958076932,0.0,0.0637549339282649
8,Albania,927585.0,47409.19999999992,0.051110356463288986,0.08948864748640392,0.0498645863137296,0.10036589475475426,0.05201197749507692,44.278310473621175,48.177637809966164,0.020991992769059973,0.03675468478285511,0.09999999999999999,3,False,not_needed,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.5,0.9,0.0,0.0,0.0,0.0,0.9498488009185142,0.8498488009185142,0.0501511990814858,0.078539433043872,0.0,0.0716117660376138
724,Spain,8564630.0,236518.09999999945,0.02761568217190928,0.028250445260664322,0.01589026934345503,0.03146801478000127,0.016324692945437067,43.752145508373616,48.122901747803205,0.10348174326564037,0.10586033346580821,0.09999999999999992,3,False,not_needed,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.5,0.9,0.0,0.0,0.0,0.0,0.9832255450614913,0.8832255450614913,0.01677445493850871,0.0549037144628547,0.0,0.0618707404756539
729,Sudan,4511513.449999999,978282.2999999998,0.21684126864345243,0.36941836595002653,0.21588816908479821,0.4174936528069992,0.2426002698899456,41.559979420730066,41.891267505785066,0.40657392255664465,0.6926535481386252,0.10000000000000012,4,False,not_needed,True,Optimization terminated successfully. (HiGHS Status 7: Optimal),0.1,0.5,0.9,0.0,0.0,0.0,0.0135004739928238,0.7458568354705892,0.645856835470589,0.2506670438941061,0.2506670438941061,0.003476120635304669,0.0899756466424809
